id	father	scorer	bw	length
1	9213	agroup	DR	27	8
2	9214	agroup	DR	28.2	8.5
3	9215	agroup	DR	30	8.5
4	9216	agroup	DR	28.8	8.5
5	9217	agroup	DR	28.2	9
6	9218	agroup	DR	27.8	9
7	9219	agroup	DR	27.6	8.5
8	9220	agroup	DR	27.2	8.5
9	9221	F1BALB8851	DR	23.5	7.5
10	9222	F1BALB8851	DR	27.8	8
11	9223	F1BALB8851	DR	27	9
12	9224	F1BALB8851	DR	26.3	8
13	9226	F1BALB8851	DR	29.5	8.5
14	9227	F1BALB8851	DR	25.8	8.5
15	9229	F1BALB8862	DR	29.2	8.5
16	9230	F1BALB8862	DR	29	9
17	9231	F1BALB8862	DR	26.2	7.5
18	9234	F1BALB8862	DR	31.4	9
19	9235	F1BALB8862	DR	28.1	8.5
20	9236	F1BALB8862	DR	26.5	8.5
21	9237	F1BALB8862	DR	26.5	9
22	9252	F1BALB8851	JA	26.1	8
23	9253	F1BALB8851	JA	27.9	8.5
24	9254	F1BALB8851	JA	27.6	9
25	9255	F1BALB8851	JA	23.8	8.50961538461539
26	9256	F1BALB8851	JA	26.5	8.5
27	9257	agroup	JA	22.3	7.5
28	9258	agroup	JA	24.7	8.5
29	9259	agroup	JA	23.8	9.5
30	9260	agroup	JA	24.1	8
31	9263	F1BALB8862	JA	24.3	8
32	9264	F1BALB8862	JA	24.7	8
33	9279	F1BALB8862	JA	26.6	9
34	9280	F1BALB8862	JA	23.7	9
35	9281	F1BALB8862	JA	26	9.5
36	9282	F1BALB8862	JA	26.4	8
37	9283	agroup	JA	28.8	9
38	9284	agroup	JA	30.5	9.5
39	9285	agroup	JA	30.4	9
40	9286	agroup	JA	27.8	8
41	9287	agroup	JA	27.6	9.5
42	9288	agroup	JA	28.2	8.5
43	9289	agroup	JA	28.7	9
44	9290	agroup	JA	27.7	8.5
45	9291	agroup	JA	27.5	9
46	9292	agroup	JA	29.7	9
47	9293	agroup	JA	28.4	9
48	9294	agroup	JA	27.1	8.5
49	9295	agroup	JA	29	8.5
50	9296	agroup	JA	26.9	9
51	9297	F1BALB8910	JA	27.8	9
52	9298	F1BALB8910	JA	26.2	8.5
53	9299	F1BALB8910	JA	23.9	8
54	9300	F1BALB8910	DR	25.6	8.5
55	9301	F1BALB8910	DR	23.9	8.5
56	9302	agroup	DR	24.3	8.5
57	9303	agroup	DR	27.5	8.5
58	9304	agroup	DR	23.5	8
59	9305	agroup	DR	28.7	9
60	9308	agroup	DR	24.7	8
61	9404	F1BALB8910	JA	29.2	9
62	9405	F1BALB8910	JA	30.7	8
63	9406	F1BALB8910	JA	31.4	8.5
64	9409	F1BALB8851	JA	29.6	9
65	9410	F1BALB8851	JA	30.8	8.5
66	9411	F1BALB8851	JA	31.4	9
67	9413	agroup	JA	31.7	9
68	9414	agroup	JA	32.8	8.5
69	9415	agroup	JA	30	9
70	9416	agroup	DR	29.7	9
71	9417	agroup	DR	32.6	8.5
72	9418	agroup	DR	29.6	9
73	9419	agroup	DR	27.9	8.5
74	9420	agroup	DR	29.2	9
75	9421	F1BALB8862	DR	30.2	8.5
76	9423	F1BALB8862	DR	26.8	8
77	9426	F1BALB8862	JA	29.8	8.5
78	9427	F1BALB8862	JA	26	7.5
79	9428	agroup	JA	28	8.50961538461539
80	9430	agroup	JA	30.1	8.5
81	9432	agroup	JA	30.8	8.5
82	9433	F1BALB8910	JA	27.8	8.5
83	9434	F1BALB8910	JA	25.7	8.5
84	9436	F1BALB8910	JA	24.2	8
85	9437	F1BALB8910	JA	25.6	7.5
86	9438	F1BALB8910	JA	22.2	7.5
87	9439	F1BALB8910	DR	24.3	8
88	9440	agroup	DR	27.4	8.5
89	9441	agroup	DR	26.6	9
90	9442	agroup	DR	27.3	8.5
91	9443	agroup	DR	28.8	8
92	9444	F1BALB8862	DR	26.9	8
93	9445	F1BALB8862	DR	26	8.5
94	9446	F1BALB8862	DR	28	9.5
95	9447	agroup	DR	26.2	8.5
96	9448	agroup	DR	26.5	8.5
97	9449	agroup	DR	26.3	8
98	9450	agroup	DR	23.2	8
99	9451	agroup	DR	24.5	8.5
100	9452	agroup	DR	26.7	8.5
101	9453	agroup	DR	29.3	8
102	9454	agroup	DR	26.2	9
103	9456	agroup	DR	27.5	9
104	9458	agroup	DR	27.6	8.5
105	9459	agroup	DR	26.8	7.5
106	9462	F1BALB8851	DR	25.5	7.5
